Field=#~Integer~#~50|Field=Comment~String~Comment~51|Field=Description~String~Description~51|Field=Designator~String~Designator~51|Field=Footprint~String~Footprint~51|Field=LibRef~String~LibRef~51|Field=Quantity~Integer~Quantity~84|ReportField=Currency~<none>|ReportField=ProductionQuantity~50|ReportField=ProjectFileName~qbI0000115v1.1.1.PrjPcb|ReportField=ProjectFullPath~C:\Users\MattiaCP\Dropbox (workgroup)\Split boards - Altium projects\Provvisori\qbI0000115v1.1.1\qbI0000115v1.1.1.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [qbI0000115v1.1.1.PcbDoc]|ReportField=TotalQuantity~6|ReportField=ReportTime~13:54:51|ReportField=ReportDate~06/09/2018|ReportField=ReportDateTime~06/09/2018 13:54:51|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~qbI0000115v1.1.1.PcbDoc|ReportField=DataSourceFullPath~C:\Users\MattiaCP\Dropbox (workgroup)\Split boards - Altium projects\Provvisori\qbI0000115v1.1.1\qbI0000115v1.1.1.PcbDoc
1|100nF|KEMET 100nF 0603 Cer 50VDC 10% X7R MLCC|C1, C2|C0603C104K5RACAUTO|C0603C104K5RACAUTO|2
2|10nF|Kemet C 10nF 0603 Cer 10VDC 5% X7R MLCC|C3|C0603C103J8RACTU|C0603C103J8RACTU|1
3|JST SM10B-XSRS-ETB|JST 10WAY angle XSR, SMT, 0.6mm, SM10B-XSRS-ETB|IN, OUT|SM10B-XSRS-ETB|SM10B-XSRS-ETB|2
4|MPU-9250|MPU-9250 3X3X1 24QFN|MPU-9250|MPU-2950|MPU-9250|1
